codigo,fila_saldos,sociedad,sociedad_label,banco,banco_label,moneda,tipo_cuenta,es_transito,instrumento,rol,concepto_raw,en_resumen,notas
REB|BIND|USD|TRANSITO,176,REB,REBISCO,BIND,Banco Industrial,USD,,1,,transito,Depósitos en Tránsito,0,
REB|TESORERIA|ARS|CC,179,REB,REBISCO,TESORERIA,TESORERIA,ARS,CC,0,,saldo,1) PESOS,1,
REB|TESORERIA|USD|CC,180,REB,REBISCO,TESORERIA,TESORERIA,USD,CC,0,,saldo,2) DOLARES,1,
REB|TESORERIA|EUR|CC,181,REB,REBISCO,TESORERIA,TESORERIA,EUR,CC,0,,saldo,3) EUROS,0,
REB|INVERSIONES|ARS|FCI_PIONERO_PESOS,184,REB,REBISCO,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI Pionero Pesos,inversion,FCI Pionero Pesos,1,
REB|INVERSIONES|ARS|FCI_PIONERO_RENTA_AHORRO,185,REB,REBISCO,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI Pionero Renta Ahorro,inversion,FCI Pionero Renta Ahorro,1,
REB|INVERSIONES|ARS|FCI_PELLEGRINI_RENTA_PESOS,186,REB,REBISCO,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI Pellegrini Renta Pesos,inversion,FCI Pellegrini Renta Pesos,1,
REB|INVERSIONES|ARS|FCI_GOAL_PESOS,187,REB,REBISCO,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI Goal Pesos,inversion,FCI Goal Pesos,1,
REB|INVERSIONES|ARS|FCI_GOAL_CAPITAL_PLUS,188,REB,REBISCO,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI Goal Capital Plus,inversion,FCI Goal Capital Plus,1,
REB|INVERSIONES|ARS|IAM_AHORRO_PESOS,189,REB,REBISCO,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,IAM Ahorro Pesos,inversion,IAM Ahorro Pesos,1,
REB|INVERSIONES|ARS|PLAZO_FIJO,190,REB,REBISCO,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,Plazo Fijo,inversion,Plazo Fijo,1,
REB|INVERSIONES|ARS|OTROS,191,REB,REBISCO,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,Otros,inversion,Otros,1,
UT|CIUDAD|ARS|CC,197,UT,BIYEMAS - SKILL ON NET UT,CIUDAD,BANCO CIUDAD,ARS,CC,0,,saldo,1) PESOS,1,
UT|CIUDAD|ARS|CC,198,UT,BIYEMAS - SKILL ON NET UT,CIUDAD,BANCO CIUDAD,ARS,CC,0,,saldo,1) PESOS,0,
UT|CIUDAD|USD|CC,199,UT,BIYEMAS - SKILL ON NET UT,CIUDAD,BANCO CIUDAD,USD,CC,0,,saldo,2) DOLARES,0,
UT|CIUDAD|EUR|CC,200,UT,BIYEMAS - SKILL ON NET UT,CIUDAD,BANCO CIUDAD,EUR,CC,0,,saldo,3) EUROS,0,
UT|CIUDAD|ARS|LOTBA,202,UT,BIYEMAS - SKILL ON NET UT,CIUDAD,BANCO CIUDAD,ARS,LOTBA,0,,saldo,1) PESOS  (LOTBA),1,
UT|CIUDAD|USD|CC,203,UT,BIYEMAS - SKILL ON NET UT,CIUDAD,BANCO CIUDAD,USD,CC,0,,saldo,2) DOLARES,0,
UT|CIUDAD|EUR|CC,204,UT,BIYEMAS - SKILL ON NET UT,CIUDAD,BANCO CIUDAD,EUR,CC,0,,saldo,3) EUROS,0,
UT|MACRO|ARS|CC,206,UT,BIYEMAS - SKILL ON NET UT,MACRO,BANCO MACRO,ARS,CC,0,,saldo,1) PESOS,1,
UT|MACRO|ARS|TRANSITO,207,UT,BIYEMAS - SKILL ON NET UT,MACRO,BANCO MACRO,ARS,,1,,transito,Deposito en transito,1,
UT|MACRO|USD|CC,208,UT,BIYEMAS - SKILL ON NET UT,MACRO,BANCO MACRO,USD,CC,0,,saldo,2) DOLARES,0,
UT|MACRO|EUR|CC,209,UT,BIYEMAS - SKILL ON NET UT,MACRO,BANCO MACRO,EUR,CC,0,,saldo,3) EUROS,0,
UT|INVERSIONES|ARS|FCI_GOAL_PESOS,211,UT,BIYEMAS - SKILL ON NET UT,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI Goal Pesos,inversion,FCI Goal Pesos,1,
BIY|MP|ARS|SALDO,215,BIY,BIYEMAS,MP,Mercado Pago,ARS,,0,,saldo,BIYEMAS,1,MP por sociedad; fila = nombre sociedad bajo bloque MP
KAN|MP|ARS|SALDO,216,KAN,KANDIKO,MP,Mercado Pago,ARS,,0,,saldo,KANDIKO,1,MP por sociedad; fila = nombre sociedad bajo bloque MP
REB|MP|ARS|SALDO,217,REB,REBISCO,MP,Mercado Pago,ARS,,0,,saldo,REBISCO,1,MP por sociedad; fila = nombre sociedad bajo bloque MP
TOT_BINGOS|TOTAL|ARS|CC,221,TOT_BINGOS,TOTAL SALDOS BINGOS,,,ARS,CC,0,,saldo,Pesos,1,
TOT_BINGOS|TOTAL|USD|TOTAL,222,TOT_BINGOS,TOTAL SALDOS BINGOS,,,USD,,0,,total,USD,1,
TOT_BINGOS|TOTAL|EUR|CC,223,TOT_BINGOS,TOTAL SALDOS BINGOS,,,EUR,CC,0,,saldo,Euros,1,
UT|TOTAL|ARS|CC,234,UT,TOTAL SALDOS UT,,,ARS,CC,0,,saldo,Pesos,1,
UT|TOTAL|USD|TOTAL,235,UT,TOTAL SALDOS UT,,,USD,,0,,total,USD,1,
UT|TOTAL|EUR|CC,236,UT,TOTAL SALDOS UT,,,EUR,CC,0,,saldo,Euros,1,
